ID2,Sector,ID,Subsector,P1,P2,cluster
32,Manufacturing,32711A,"Pottery, ceramics, and plumbing fixture manufacturing OR Pottery, ceramics, and plumbing fixture manufacturing",1.6292495,4.487865,0
31,Manufacturing,311410,Frozen food manufacturing OR Frozen food manufacturing,-2.9149532,-4.2645326,0
33,Manufacturing,33221B,Handtool manufacturing OR Handtool manufacturing,-5.7516384,-8.44882,0
32,Manufacturing,326290,Other rubber product manufacturing OR Other rubber product manufacturing,-3.711846,-7.164046,0
56,Administrative and Support and Waste Management and Remediation Services,561100,Office administrative services OR Office administrative services,-0.6166679,-7.8456173,0
32,Manufacturing,327320,Ready-mix concrete manufacturing OR Ready-mix concrete manufacturing,2.326002,5.658917,0
32,Manufacturing,326130,"Laminated plastics plate, sheet, and shapes OR Laminated plastics plate, sheet, and shapes",1.3739648,0.34803155,0
32,Manufacturing,321999,Miscellaneous wood product manufacturing OR Miscellaneous wood product manufacturing,-9.49417,-20.436653,0
11,"Agriculture, Forestry, Fishing and Hunting",111335,Tree nut farming OR Tree nut farming,7.604375,-1.51084,0
81,Other Services (except Public Administration),811400,Household goods repair and maintenance OR Household goods repair and maintenance,-0.14106904,-7.339944,0
54,"Professional, Scientific, and Technical Services",541512,Computer systems design services OR Computer systems design services,3.2568014,-6.5100813,0
32,Manufacturing,327390,Other concrete product manufacturing OR Other concrete product manufacturing,2.4797254,4.8371005,0
32,Manufacturing,325620,Toilet preparation manufacturing OR Toilet preparation manufacturing,2.7021604,7.0441523,0
53,Real Estate and Rental and Leasing,532A00,General and consumer goods rental except video tapes and discs OR General and consumer goods rental except video tapes and discs,3.5189028,-4.1824255,0
81,Other Services (except Public Administration),811192,Car washes OR Car washes,3.3453496,-4.2778525,0
31,Manufacturing,313210,Broadwoven fabric mills OR Broadwoven fabric mills,-3.430137,-9.206592,0
31,Manufacturing,313100,"Fiber, yarn, and thread mills OR Fiber, yarn, and thread mills",-11.931869,-12.737748,0
33,Manufacturing,33291A,Valve and fittings other than plumbing OR Valve and fittings other than plumbing,-6.66757,-8.556424,0
32,Manufacturing,321219,Reconstituted wood product manufacturing OR Reconstituted wood product manufacturing,-7.713103,-19.54099,0
31,Manufacturing,31151A,Fluid milk and butter manufacturing OR Fluid milk and butter manufacturing,0.28131315,0.054654017,0
53,Real Estate and Rental and Leasing,532100,Automotive equipment rental and leasing OR Automotive equipment rental and leasing,-1.3603009,-7.860272,0
51,Information,518200,"Data processing, hosting, and related services OR Data processing, hosting, and related services",-7.8733916,-7.534726,0
51,Information,511110,Newspaper publishers OR Newspaper publishers,-10.161656,-9.728137,0
33,Manufacturing,332991,Ball and roller bearing manufacturing OR Ball and roller bearing manufacturing,-4.4966664,-8.371734,0
81,Other Services (except Public Administration),811200,Electronic equipment repair and maintenance OR Electronic equipment repair and maintenance,0.7507315,-6.1601353,0
33,Manufacturing,33712A,Metal and other household nonupholsetered furniture OR Metal and other household nonupholsetered furniture,1.3839378,-10.590953,0
71,"Arts, Entertainment, and Recreation",713B00,"Other amusement, gambling, and recreation industries OR Other amusement, gambling, and recreation industries",-1.3275132,-7.3491664,0
32,Manufacturing,327215,Glass Product Manufacturing Made of Purchased Glass OR Glass Product Manufacturing Made of Purchased Glass,0.82996935,-1.3644211,0
54,"Professional, Scientific, and Technical Services",54151A,"Other computer related services, including facilities management OR Other computer related services, including facilities management",3.6502523,-5.521519,0
52,Finance and Insurance,524200,"Insurance agencies, brokerages, and related OR Insurance agencies, brokerages, and related",1.5334257,-5.416506,0
32,Manufacturing,324122,Asphalt shingle and coating materials manufacturing OR Asphalt shingle and coating materials manufacturing,1.5568904,5.2130294,0
31,Manufacturing,311340,Nonchocolate confectionery manufacturing OR Nonchocolate confectionery manufacturing,1.2395731,1.7091655,0
33,Manufacturing,333920,Material handling equipment manufacturing OR Material handling equipment manufacturing,1.7107155,0.5677448,0
31,Manufacturing,311513,Cheese manufacturing OR Cheese manufacturing,2.0571263,3.2991412,0
32,Manufacturing,327993,Mineral wool manufacturing OR Mineral wool manufacturing,2.7001297,2.4769378,0
33,Manufacturing,336500,Railroad rolling stock manufacturing OR Railroad rolling stock manufacturing,0.45827535,0.9045977,0
56,Administrative and Support and Waste Management and Remediation Services,561600,Investigation and security services OR Investigation and security services,1.8901125,-5.9736915,0
31,Manufacturing,313240,Knit fabric mills OR Knit fabric mills,3.1155634,4.4165955,0
71,"Arts, Entertainment, and Recreation",713940,Fitness and recreational sports centers OR Fitness and recreational sports centers,0.6700853,-5.589804,0
33,Manufacturing,332500,Hardware manufacturing OR Hardware manufacturing,0.5379405,-2.295968,0
32,Manufacturing,326220,Rubber and plastics hose and belting manufacturing OR Rubber and plastics hose and belting manufacturing,2.005075,-1.4365804,0
32,Manufacturing,32121A,Veneer and plywood manufacturing OR Veneer and plywood manufacturing,-9.650774,-21.067055,0
33,Manufacturing,335920,Communication and energy wire and cable manufacturing OR Communication and energy wire and cable manufacturing,-1.0677395,-4.9018397,0
33,Manufacturing,335312,Motor and generator manufacturing OR Motor and generator manufacturing,2.0793285,-0.75340885,0
81,Other Services (except Public Administration),812300,Drycleaning and laundry services OR Drycleaning and laundry services,1.41155,-4.42943,0
33,Manufacturing,33411A,Computer terminals and other computer peripheral equipment manufacturing OR Computer terminals and other computer peripheral equipment manufacturing,3.4189353,-1.9373182,0
51,Information,511120,Periodical publishers OR Periodical publishers,2.2258928,-5.6295323,0
0,,S00102,Other Federal government enterprises OR Other Federal government enterprises,17.69959,11.264333,0
31,Manufacturing,311910,Snack food manufacturing OR Snack food manufacturing,5.175161,7.33949,0
54,"Professional, Scientific, and Technical Services",541400,Specialized design services OR Specialized design services,-0.30580792,-6.4475784,0
54,"Professional, Scientific, and Technical Services",5416A0,Environmental and other technical consulting services OR Environmental and other technical consulting services,6.904076,-1.4633013,0
32,Manufacturing,326160,Plastics bottle manufacturing OR Plastics bottle manufacturing,-12.56605,-11.552766,0
32,Manufacturing,321910,Wood windows and doors and millwork OR Wood windows and doors and millwork,-8.701649,-20.398277,0
33,Manufacturing,33329A,Other industrial machinery manufacturing OR Other industrial machinery manufacturing,1.6626834,-1.7802882,0
32,Manufacturing,327330,"Concrete pipe, brick and block manufacturing OR Concrete pipe, brick and block manufacturing",6.2549286,8.565106,0
33,Manufacturing,339991,"Gasket, packing, and sealing device manufacturing OR Gasket, packing, and sealing device manufacturing",1.3416352,-2.6878211,0
32,Manufacturing,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing OR Urethane and Other Foam Product (except Polystyrene) Manufacturing,6.43282,4.429111,0
33,Manufacturing,334418,Printed circuit assembly (electronic assembly) manufacturing OR Printed circuit assembly (electronic assembly) manufacturing,-7.479614,-8.350773,0
33,Manufacturing,335314,Relay and industrial control manufacturing OR Relay and industrial control manufacturing,0.9836487,-2.911389,0
33,Manufacturing,334412,Bare printed circuit board manufacturing OR Bare printed circuit board manufacturing,0.35929507,-3.7242377,0
31,Manufacturing,314910,Textile bag and canvas mills OR Textile bag and canvas mills,6.9646435,7.6571927,0
33,Manufacturing,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing OR Air conditioning, refrigeration, and warm air heating equipment manufacturing",2.135483,-2.3066978,0
32,Manufacturing,327999,Miscellaneous nonmetallic mineral products OR Miscellaneous nonmetallic mineral products,16.895025,12.439892,0
33,Manufacturing,333120,Construction machinery manufacturing OR Construction machinery manufacturing,6.6964974,5.250985,0
51,Information,512100,Motion picture and video industries OR Motion picture and video industries,-1.3647573,-6.578085,0
31,Manufacturing,316900,Other leather and allied product manufacturing OR Other leather and allied product manufacturing,17.615307,12.924122,0
33,Manufacturing,33341A,Air purification and ventilation equipment manufacturing OR Air purification and ventilation equipment manufacturing,5.488827,1.8203392,0
33,Manufacturing,333515,Cutting tool and machine tool accessory manufacturing OR Cutting tool and machine tool accessory manufacturing,-0.20725538,-4.5000973,0
32,Manufacturing,322230,Stationery product manufacturing OR Stationery product manufacturing,1.577135,-10.195185,0
33,Manufacturing,339950,Sign manufacturing OR Sign manufacturing,5.8837194,3.5749815,0
33,Manufacturing,334419,Other electronic component manufacturing OR Other electronic component manufacturing,-1.618996,-6.115899,0
71,"Arts, Entertainment, and Recreation",711200,Spectator sports OR Spectator sports,-0.13487864,-5.536311,0
56,Administrative and Support and Waste Management and Remediation Services,561200,Facilities support services OR Facilities support services,5.6869173,-1.0197066,0
23,Construction,230202,Other residential structures OR Other residential structures,20.565952,17.63848,0
33,Manufacturing,33999A,All other miscellaneous manufacturing OR All other miscellaneous manufacturing,5.9596515,2.6890533,0
