,ID,Subsector_x,CO t,NH3 t,NOx t,PM10 t,PM 2.5 t,SO2 t,VOC t,Subsector_y,CO2 t CO2e,CH4 t CO2e,N2O t CO2e,Other GHGs t CO2e
116,561600,Investigation And Security,3.85,0.0,0.2,0.004,0.018,0.012,0.176,Investigation and security services,1700.0,0.0,0.0,0.0
117,811300,Commercial Machinery Repair,3.84,0.001,0.311,0.082,0.126,0.011,49.5,Commercial machinery repair and maintenance,7290.0,0.0,0.0,0.0
118,813B00,"Civic, Social, Professional, And Similar Organizations",3.59,0.0,0.18,0.0,0.013,0.002,0.159,"Civic, social, professional and similar organizations",12300.0,0.0,0.0,0.0
119,332710,Machine Shops,3.17,0.007,1.03,0.156,0.292,0.069,13.0,Machine shops,7440.0,0.0,0.0,0.0
120,331520,Nonferrous Metal Casts,3.06,0.011,0.721,0.244,1.31,0.105,1.32,Nonferrous foundries,10100.0,0.0,0.0,0.0
121,332600,Springs And Wires,3.04,0.013,1.09,0.167,0.546,0.231,7.26,Spring and wire product manufacturing,4880.0,0.0,0.0,0.0
122,713100,Amusement Parks And Arcades,2.73,0.0,0.038,0.002,0.027,0.0,0.72,,,,,
123,561900,Other Support Services,2.72,0.0,0.145,0.017,0.077,0.001,0.315,Other support services,4480.0,0.0,0.0,0.0
124,326190,Other Plastic Products,2.59,0.274,1.65,0.334,0.874,0.446,18.9,,,,,
125,518200,Data Processing And Hosting,2.54,0.0,0.327,0.0,0.019,0.013,0.123,"Data processing, hosting, and related services",2040.0,0.0,0.0,0.0
126,321910,"Wooden Windows, Door, And Flooring",2.46,0.008,1.23,0.534,1.25,0.118,4.67,Wood windows and doors and millwork,1180.0,0.0,0.0,0.0
127,811200,Electronic Equipment Repair And Maintenance,2.35,0.002,0.155,0.008,0.046,0.002,17.3,Electronic equipment repair and maintenance,1980.0,0.0,0.0,0.0
128,4A0000,Other Retail,2.34,0.0,0.148,0.007,0.014,0.017,30.9,Retail trade,6010.0,0.0,0.0,0.0
129,541512,Computer Systems Design,2.34,0.0,0.139,0.001,0.011,0.002,0.105,Computer systems design services,2580.0,0.0,0.0,0.0
130,5419A0,"Marketing Research And All Other Miscellaneous Professional, Scientific, And Technical Services",2.33,0.0,0.121,0.0,0.011,0.008,0.152,All other miscellaneous professional and technical services,5540.0,0.0,0.0,0.0
131,812300,Dry-Cleaning And Laundry,2.32,0.002,0.157,0.005,0.018,0.003,1.96,Drycleaning and laundry services,1330.0,0.0,0.0,0.0
132,332200,Cutlery And Handtools,2.31,0.006,0.525,0.172,0.468,0.012,4.36,,,,,
133,333313,Office Machinery,2.3,0.002,0.556,0.0,0.026,0.002,0.21,,,,,
134,111200,"Fresh Vegetables, Melons, And Potatoes",2.29,13.0,2.46,10.7,2.87,0.006,4.69,Vegetable and melon farming,3980.0,0.0,0.0,5930.0
135,611A00,"Colleges, Universities, Junior Colleges, And Professional Schools",2.16,0.004,0.445,0.018,0.05,0.664,0.109,"Colleges, universities, and junior colleges",22200.0,0.0,0.0,0.0
136,312120,Breweries And Beer,2.15,0.265,3.91,0.162,0.671,8.51,5.1,Breweries,18600.0,0.0,0.0,0.0
137,326210,Rubber Tires,2.04,0.018,2.75,0.356,0.889,0.165,11.8,Tire manufacturing,12400.0,0.0,0.0,0.0
138,334413,Semiconductors,2.04,0.115,1.08,0.024,0.142,0.129,1.46,Semiconductor and related device manufacturing,7100.0,0.0,0.0,0.0
139,561200,Facilities Support,2.0,0.002,0.157,0.0,0.013,0.001,0.1,Facilities support services,723.0,0.0,0.0,0.0
140,541100,Legal Services,1.82,0.007,0.475,0.013,0.082,0.221,0.907,Legal services,6180.0,0.0,0.0,0.0
141,326150,Urethane And Other Foam Products,1.82,0.003,0.464,0.015,0.067,0.006,2.04,Urethane and Other Foam Product (except Polystyrene) Manufacturing,1000.0,0.0,0.0,0.0
142,114000,Wild-Caught Fish And Game,1.73,0.029,0.116,0.369,0.104,0.009,0.098,,,,,
143,332310,Metal Structural Products,1.72,0.009,0.553,0.373,0.499,0.071,7.65,Plate work and fabricated structural product manufacturing,3200.0,0.0,0.0,0.0
144,339990,"Gaskets, Seals, Musical Instruments, Fasteners, Brooms, Brushes, Mop And Other Misc. Goods",1.63,0.068,0.69,0.19,0.274,0.732,4.0,,,,,
145,541400,Specialized Design,1.61,0.016,0.077,0.0,0.006,0.0,167.0,Specialized design services,1220.0,0.0,0.0,0.0
146,541200,"Accounting, Tax Preparation, Bookkeeping, And Payroll",1.6,0.0,0.077,0.0,0.006,0.0,0.071,Accounting and bookkeeping services,6170.0,0.0,0.0,0.0
147,532A00,Consumer Goods And General Rental Centers,1.54,0.0,0.074,0.0,0.006,0.0,0.069,General and consumer goods rental except video tapes and discs,2380.0,0.0,0.0,0.0
148,541610,Management Consulting,1.46,0.0,0.096,0.002,0.01,0.003,0.073,Management consulting services,5630.0,0.0,0.0,0.0
149,S00203,State And Local Government Enterprises,1.42,0.251,1.36,0.04,0.216,1.69,0.292,Other state and local government enterprises,168000.0,0.0,0.0,0.0
150,325414,Vaccines And Other Biological Medical Products,1.35,0.165,0.533,0.023,0.062,0.053,0.294,Biological product (except diagnostic) Manufacturing,9080.0,0.0,0.0,0.0
151,517110,Telecommunications,1.27,0.0,0.204,0.0,0.01,0.009,0.064,,,,,
152,33411A,Computer Terminals And Other Computer Peripheral Equipment,1.18,0.005,0.361,0.011,0.03,0.119,0.239,Computer terminals and other computer peripheral equipment manufacturing,1280.0,0.0,0.0,0.0
153,811400,Household Goods Repair,1.15,0.0,0.063,0.022,0.018,0.0,0.312,Household goods repair and maintenance,2590.0,0.0,0.0,0.0
154,336390,Other Vehicle Parts,1.13,0.095,0.689,0.149,0.345,0.036,8.39,,,,,
155,54151A,"Other Computer Related Services, Including Facilities Management",1.11,0.0,0.195,0.001,0.015,0.003,0.052,"Other computer related services, including facilities management",1960.0,0.0,0.0,0.0
156,333111,Farm Machinery And Equipment,1.1,0.024,0.833,0.051,0.284,1.92,6.9,Farm machinery and equipment manufacturing,4100.0,0.0,0.0,0.0
157,332114,Custom Metal Rolls,1.1,0.002,0.294,0.058,0.084,0.002,4.83,Custom roll forming,3250.0,0.0,0.0,0.0
158,313200,Fabric,1.07,0.012,0.95,0.059,0.157,0.36,0.741,,,,,
159,326120,"Plastic Pipe, Fittings, And Sausage Casings",1.06,0.1,0.728,0.112,0.328,0.753,9.55,,,,,
