,Sector,Subsector,cluster
86,Manufacturing,"Iron, steel pipe and tube manufacturing from purchased steel OR Iron, steel pipe and tube manufacturing from purchased steel",0
85,Accommodation and Food Services,"Hotels and motels, including casino hotels OR Hotels and motels, including casino hotels",0
84,Real Estate and Rental and Leasing,Lessors of nonfinancial intangible assets OR Lessors of nonfinancial intangible assets,0
93,Manufacturing,Adhesive manufacturing OR Adhesive manufacturing,0
83,Manufacturing,All other converted paper product manufacturing OR All other converted paper product manufacturing,0
81,Manufacturing,"Coated and laminated paper, packaging materials, and plastic films manufacturing OR Coated and laminated paper, packaging materials, and plastic films manufacturing",0
80,"Professional, Scientific, and Technical Services",Architectural and engineering services OR Architectural and engineering services,0
79,Manufacturing,Carbon black manufacturing OR Carbon black manufacturing,0
78,Accommodation and Food Services,Food services and drinking places OR Food services and drinking places,0
77,Transportation and Warehousing,Warehousing and storage OR Warehousing and storage,0
76,Manufacturing,All other chemical product and preparation manufacturing OR All other chemical product and preparation manufacturing,0
75,Manufacturing,Semiconductor and related device manufacturing OR Semiconductor and related device manufacturing,0
74,Transportation and Warehousing,Postal service OR Postal service,0
73,Manufacturing,"Coating, engraving, heat treating and allied activities OR Coating, engraving, heat treating and allied activities",0
82,Manufacturing,Glass container manufacturing OR Glass container manufacturing,0
72,"Agriculture, Forestry, Fishing and Hunting",Poultry and egg production OR Poultry and egg production,0
94,Manufacturing,Other plastics product manufacturing OR Other plastics product manufacturing,0
96,Manufacturing,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying OR Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",0
116,Manufacturing,Sawmills and wood preservation OR Sawmills and wood preservation,0
115,"Agriculture, Forestry, Fishing and Hunting",Tobacco farming OR Tobacco farming,0
114,Information,Radio and television broadcasting OR Radio and television broadcasting,0
113,Finance and Insurance,Nondepository credit intermediation and related activities OR Nondepository credit intermediation and related activities,0
112,Manufacturing,Primary smelting and refining of copper OR Primary smelting and refining of copper,0
111,Manufacturing,Motor vehicle parts manufacturing OR Motor vehicle parts manufacturing,0
110,Manufacturing,Soap and cleaning compound manufacturing OR Soap and cleaning compound manufacturing,0
109,Manufacturing,Other fabricated metal manufacturing OR Other fabricated metal manufacturing,0
108,Manufacturing,Artificial and synthetic fibers and filaments manufacturing OR Artificial and synthetic fibers and filaments manufacturing,0
95,Finance and Insurance,Monetary authorities and depository credit intermediation OR Monetary authorities and depository credit intermediation,0
107,Other Services (except Public Administration),"Civic, social, professional and similar organizations OR Civic, social, professional and similar organizations",0
105,Manufacturing,Printing ink manufacturing OR Printing ink manufacturing,0
104,"Mining, Quarrying, and Oil and Gas Extraction","Copper, nickel, lead, and zinc mining OR Copper, nickel, lead, and zinc mining",0
103,"Agriculture, Forestry, Fishing and Hunting",Fruit farming OR Fruit farming,0
102,"Mining, Quarrying, and Oil and Gas Extraction","Sand, gravel, clay, and refractory mining OR Sand, gravel, clay, and refractory mining",0
101,Real Estate and Rental and Leasing,Commercial and industrial machinery and equipment rental and leasing OR Commercial and industrial machinery and equipment rental and leasing,0
100,Manufacturing,Synthetic rubber manufacturing OR Synthetic rubber manufacturing,0
99,"Agriculture, Forestry, Fishing and Hunting",Greenhouse and nursery production OR Greenhouse and nursery production,0
98,Manufacturing,Printing OR Printing,0
97,Manufacturing,"Fruit and vegetable canning, pickling and drying OR Fruit and vegetable canning, pickling and drying",0
106,Manufacturing,Tire manufacturing OR Tire manufacturing,0
71,Manufacturing,All other petroleum and coal products manufacturing OR All other petroleum and coal products manufacturing,0
70,"Mining, Quarrying, and Oil and Gas Extraction",Iron ore mining OR Iron ore mining,0
69,Information,Telecommunications OR Telecommunications,0
41,,Other state and local government enterprises OR Other state and local government enterprises,0
40,Manufacturing,Fats and oils refining and blending OR Fats and oils refining and blending,0
39,"Agriculture, Forestry, Fishing and Hunting",Milk Production OR Milk Production,0
38,Manufacturing,Aluminum product manufacturing from purchased aluminum OR Aluminum product manufacturing from purchased aluminum,0
37,Manufacturing,Industrial gas manufacturing OR Industrial gas manufacturing,0
36,Construction,Nonresidential maintenance and repair OR Nonresidential maintenance and repair,0
34,"Agriculture, Forestry, Fishing and Hunting",Sugarcane and sugar beet farming OR Sugarcane and sugar beet farming,0
33,"Agriculture, Forestry, Fishing and Hunting",Fishing OR Fishing,0
32,Wholesale Trade,Wholesale trade OR Wholesale trade,0
42,Management of Companies and Enterprises,Management of companies and enterprises OR Management of companies and enterprises,0
31,Manufacturing,All other basic inorganic chemical manufacturing OR All other basic inorganic chemical manufacturing,0
29,Manufacturing,Petrochemical manufacturing OR Petrochemical manufacturing,0
28,"Agriculture, Forestry, Fishing and Hunting",Cotton farming OR Cotton farming,0
26,Transportation and Warehousing,Air transportation OR Air transportation,0
23,Transportation and Warehousing,Water transportation OR Water transportation,0
22,Utilities,Natural gas distribution OR Natural gas distribution,0
20,Administrative and Support and Waste Management and Remediation Services,Waste management and remediation services OR Waste management and remediation services,0
15,"Mining, Quarrying, and Oil and Gas Extraction",Coal mining OR Coal mining,0
13,"Agriculture, Forestry, Fishing and Hunting",All other crop farming OR All other crop farming,0
8,"Agriculture, Forestry, Fishing and Hunting","Animal production, except cattle and poultry and eggs OR Animal production, except cattle and poultry and eggs",0
30,Transportation and Warehousing,Couriers and messengers OR Couriers and messengers,0
43,Manufacturing,Medicinal and botanical manufacturing OR Medicinal and botanical manufacturing,0
44,Utilities,"Water, sewage and other systems OR Water, sewage and other systems",0
45,Manufacturing,Cement manufacturing OR Cement manufacturing,0
68,"Mining, Quarrying, and Oil and Gas Extraction",Stone mining and quarrying OR Stone mining and quarrying,0
67,Administrative and Support and Waste Management and Remediation Services,Services to buildings and dwellings OR Services to buildings and dwellings,0
66,"Professional, Scientific, and Technical Services",Scientific research and development services OR Scientific research and development services,0
65,,General state and local government services OR General state and local government services,0
64,Manufacturing,Pesticide and other agricultural chemical manufacturing OR Pesticide and other agricultural chemical manufacturing,0
63,Manufacturing,Synthetic dye and pigment manufacturing OR Synthetic dye and pigment manufacturing,0
62,"Agriculture, Forestry, Fishing and Hunting",Agriculture and forestry support activities OR Agriculture and forestry support activities,0
61,Manufacturing,Sugar cane mills and refining OR Sugar cane mills and refining,0
60,Manufacturing,Secondary smelting and alloying of aluminum OR Secondary smelting and alloying of aluminum,0
58,Manufacturing,Primary smelting and refining of nonferrous metal (except copper and aluminum) OR Primary smelting and refining of nonferrous metal (except copper and aluminum),0
57,Transportation and Warehousing,Scenic and sightseeing transportation and support activities for transportation OR Scenic and sightseeing transportation and support activities for transportation,0
56,Manufacturing,Seafood product preparation and packaging OR Seafood product preparation and packaging,0
54,Manufacturing,Paperboard container manufacturing OR Paperboard container manufacturing,0
53,Manufacturing,Lime and gypsum product manufacturing OR Lime and gypsum product manufacturing,0
52,Manufacturing,Alkalies and chlorine manufacturing OR Alkalies and chlorine manufacturing,0
51,,State and local government passenger transit OR State and local government passenger transit,0
50,"Mining, Quarrying, and Oil and Gas Extraction",Other nonmetallic mineral mining OR Other nonmetallic mineral mining,0
49,Manufacturing,"Plastics packaging materials, film and sheet OR Plastics packaging materials, film and sheet",0
48,Manufacturing,Other animal food manufacturing OR Other animal food manufacturing,0
47,Manufacturing,Flour milling and malt manufacturing OR Flour milling and malt manufacturing,0
46,Manufacturing,All other paper bag and coated and treated paper manufacturing OR All other paper bag and coated and treated paper manufacturing,0
117,Manufacturing,Nonferrous foundries OR Nonferrous foundries,0
215,Manufacturing,Communication and energy wire and cable manufacturing OR Communication and energy wire and cable manufacturing,0
118,"Agriculture, Forestry, Fishing and Hunting",Vegetable and melon farming OR Vegetable and melon farming,0
120,Manufacturing,Other pressed and blown glass and glassware manufacturing OR Other pressed and blown glass and glassware manufacturing,0
189,Manufacturing,"Fiber, yarn, and thread mills OR Fiber, yarn, and thread mills",0
188,Manufacturing,Broadwoven fabric mills OR Broadwoven fabric mills,0
187,Other Services (except Public Administration),Car washes OR Car washes,0
186,Real Estate and Rental and Leasing,General and consumer goods rental except video tapes and discs OR General and consumer goods rental except video tapes and discs,0
185,Manufacturing,Toilet preparation manufacturing OR Toilet preparation manufacturing,0
184,Manufacturing,Other concrete product manufacturing OR Other concrete product manufacturing,0
183,"Professional, Scientific, and Technical Services",Computer systems design services OR Computer systems design services,0
182,Other Services (except Public Administration),Household goods repair and maintenance OR Household goods repair and maintenance,0
181,"Agriculture, Forestry, Fishing and Hunting",Tree nut farming OR Tree nut farming,0
190,Manufacturing,Valve and fittings other than plumbing OR Valve and fittings other than plumbing,0
180,Manufacturing,Miscellaneous wood product manufacturing OR Miscellaneous wood product manufacturing,0
178,Manufacturing,Ready-mix concrete manufacturing OR Ready-mix concrete manufacturing,0
177,Administrative and Support and Waste Management and Remediation Services,Office administrative services OR Office administrative services,0
176,Manufacturing,Other rubber product manufacturing OR Other rubber product manufacturing,0
175,Manufacturing,Handtool manufacturing OR Handtool manufacturing,0
174,Manufacturing,Frozen food manufacturing OR Frozen food manufacturing,0
173,Manufacturing,"Pottery, ceramics, and plumbing fixture manufacturing OR Pottery, ceramics, and plumbing fixture manufacturing",0
172,Manufacturing,Storage battery manufacturing OR Storage battery manufacturing,0
171,Manufacturing,Plate work and fabricated structural product manufacturing OR Plate work and fabricated structural product manufacturing,0
170,Manufacturing,Custom roll forming OR Custom roll forming,0
179,Manufacturing,"Laminated plastics plate, sheet, and shapes OR Laminated plastics plate, sheet, and shapes",0
169,Manufacturing,Fabric coating mills OR Fabric coating mills,0
191,Manufacturing,Reconstituted wood product manufacturing OR Reconstituted wood product manufacturing,0
193,Real Estate and Rental and Leasing,Automotive equipment rental and leasing OR Automotive equipment rental and leasing,0
213,Manufacturing,Rubber and plastics hose and belting manufacturing OR Rubber and plastics hose and belting manufacturing,0
212,Manufacturing,Hardware manufacturing OR Hardware manufacturing,0
211,"Arts, Entertainment, and Recreation",Fitness and recreational sports centers OR Fitness and recreational sports centers,0
210,Manufacturing,Knit fabric mills OR Knit fabric mills,0
209,Administrative and Support and Waste Management and Remediation Services,Investigation and security services OR Investigation and security services,0
208,Manufacturing,Railroad rolling stock manufacturing OR Railroad rolling stock manufacturing,0
207,Manufacturing,Mineral wool manufacturing OR Mineral wool manufacturing,0
206,Manufacturing,Cheese manufacturing OR Cheese manufacturing,0
205,Manufacturing,Material handling equipment manufacturing OR Material handling equipment manufacturing,0
192,Manufacturing,Fluid milk and butter manufacturing OR Fluid milk and butter manufacturing,0
408,Manufacturing,Dental laboratories OR Dental laboratories,0
202,Finance and Insurance,"Insurance agencies, brokerages, and related OR Insurance agencies, brokerages, and related",0
201,"Professional, Scientific, and Technical Services","Other computer related services, including facilities management OR Other computer related services, including facilities management",0
200,Manufacturing,Glass Product Manufacturing Made of Purchased Glass OR Glass Product Manufacturing Made of Purchased Glass,0
199,"Arts, Entertainment, and Recreation","Other amusement, gambling, and recreation industries OR Other amusement, gambling, and recreation industries",0
198,Manufacturing,Metal and other household nonupholsetered furniture OR Metal and other household nonupholsetered furniture,0
197,Other Services (except Public Administration),Electronic equipment repair and maintenance OR Electronic equipment repair and maintenance,0
196,Manufacturing,Ball and roller bearing manufacturing OR Ball and roller bearing manufacturing,0
195,Information,Newspaper publishers OR Newspaper publishers,0
194,Information,"Data processing, hosting, and related services OR Data processing, hosting, and related services",0
203,Manufacturing,Asphalt shingle and coating materials manufacturing OR Asphalt shingle and coating materials manufacturing,0
168,Manufacturing,"Turned product and screw, nut, and bolt manufacturing OR Turned product and screw, nut, and bolt manufacturing",0
167,Manufacturing,"Crown, closure and metal stamping manufacturing OR Crown, closure and metal stamping manufacturing",0
166,Manufacturing,Wood container and pallet manufacturing OR Wood container and pallet manufacturing,0
140,Transportation and Warehousing,Transit and ground passenger transportation OR Transit and ground passenger transportation,0
139,Manufacturing,"Brick, tile, and other structural clay product manufacturing OR Brick, tile, and other structural clay product manufacturing",0
138,Manufacturing,Nonwoven fabric mills OR Nonwoven fabric mills,0
137,Manufacturing,Textile and fabric finishing mills OR Textile and fabric finishing mills,0
136,Manufacturing,Sanitary paper product manufacturing OR Sanitary paper product manufacturing,0
135,Other Services (except Public Administration),Commercial machinery repair and maintenance OR Commercial machinery repair and maintenance,0
134,Manufacturing,Distilleries OR Distilleries,0
133,Manufacturing,Machine shops OR Machine shops,0
132,Manufacturing,Carbon and graphite product manufacturing OR Carbon and graphite product manufacturing,0
141,"Professional, Scientific, and Technical Services",Legal services OR Legal services,0
131,Manufacturing,Flat glass manufacturing OR Flat glass manufacturing,0
129,Manufacturing,Ornamental and architectural metail products manufacturing OR Ornamental and architectural metail products manufacturing,0
128,Manufacturing,Poultry processing OR Poultry processing,0
127,Manufacturing,Pharmaceutical preparation manufacturing OR Pharmaceutical preparation manufacturing,0
126,Construction,Residential maintenance and repair OR Residential maintenance and repair,0
125,Other Services (except Public Administration),"Automotive repair and maintenance, except car washes OR Automotive repair and maintenance, except car washes",0
124,Administrative and Support and Waste Management and Remediation Services,Travel arrangement and reservation services OR Travel arrangement and reservation services,0
123,Manufacturing,Biological product (except diagnostic) Manufacturing OR Biological product (except diagnostic) Manufacturing,0
122,Manufacturing,"Dry, condensed, and evaporated dairy products OR Dry, condensed, and evaporated dairy products",0
121,Manufacturing,"Copper rolling, drawing, extruding and alloying OR Copper rolling, drawing, extruding and alloying",0
130,Administrative and Support and Waste Management and Remediation Services,Employment services OR Employment services,0
142,"Professional, Scientific, and Technical Services",Accounting and bookkeeping services OR Accounting and bookkeeping services,0
143,Manufacturing,Paint and coating manufacturing OR Paint and coating manufacturing,0
144,"Mining, Quarrying, and Oil and Gas Extraction",Support activities for oil and gas operations OR Support activities for oil and gas operations,0
165,Information,Cable and other subscription programming OR Cable and other subscription programming,0
164,Manufacturing,Unlaminated plastics profile shape manufacturing OR Unlaminated plastics profile shape manufacturing,0
163,Manufacturing,All other miscellaneous textile product mills OR All other miscellaneous textile product mills,0
162,Manufacturing,All other food manufacturing OR All other food manufacturing,0
161,Manufacturing,Farm machinery and equipment manufacturing OR Farm machinery and equipment manufacturing,0
160,Manufacturing,"All other forging, stamping , and sintering OR All other forging, stamping , and sintering",0
159,Finance and Insurance,"Securities, commodity contracts, investments OR Securities, commodity contracts, investments",0
158,Manufacturing,Asphalt paving mixture and block manufacturing OR Asphalt paving mixture and block manufacturing,0
157,Administrative and Support and Waste Management and Remediation Services,Other support services OR Other support services,0
156,Manufacturing,Abrasive product manufacturing OR Abrasive product manufacturing,0
155,Administrative and Support and Waste Management and Remediation Services,Business support services OR Business support services,0
154,Manufacturing,Spring and wire product manufacturing OR Spring and wire product manufacturing,0
153,Manufacturing,Clay and non-clay refractory manufacturing OR Clay and non-clay refractory manufacturing,0
